,name,lon,lat
1,Picinguaba,-44.826944,-23.36452562
2,Santa_Virginia,-45.145917,-23.3362
3,Cunha,-45.021944,-23.235556
4,Bocaina,-44.627133,-22.720017
5,Taubate,-45.508664,-23.026341
6,Marins,-45.145917,-22.508533
